nazev,nazev_zkrac,izo,ico,druh,druh_nazev,kraj,okres,obec,ulice,psc,kapacita,pocet_zaku,email,telefon,web,zrizovatel,zrizovatel_typ,reditel,datum_vzniku,rúian
"Speciální základní škola a Praktická škola, Šluknov, Tyršova 710, příspěvková organizace",Spec. základní škola a Praktická škola,181025230,65082478,C00,Střední škola,Ústecký kraj,Děčín,Rumburk,Náměstí Dobrovského 378,40801,48.0,33,skola@skolyvybezek.cz,,,Ústecký kraj,7,Mgr. Bc. Monika Kamenická,2011-01-31,126314.0
"Speciální základní škola a Praktická škola, Šluknov, Tyršova 710, příspěvková organizace",Spec. základní škola a Praktická škola,102577447,65082478,B00,Základní škola,Ústecký kraj,Děčín,Šluknov,Tyršova 710,40777,182.0,127,skola@skolyvybezek.cz,,,Ústecký kraj,7,Mgr. Bc. Monika Kamenická,2005-01-01,146714.0
"Speciální základní škola, Mateřská škola a Praktická škola, Varnsdorf, T. G. Masaryka 1804, příspěvková organizace","Speciální ZŠ, MŠ a PŠ",181142449,65081811,C00,Střední škola,Ústecký kraj,Děčín,Varnsdorf,T. G. Masaryka 1804,40747,20.0,14,skola@specvdf.cz,,,Ústecký kraj,7,PhDr. Blažena Dacerová,2024-02-20,180165.0
"Speciální základní škola, Mateřská škola a Praktická škola, Varnsdorf, T. G. Masaryka 1804, příspěvková organizace","Speciální ZŠ, MŠ a PŠ",102577137,65081811,B00,Základní škola,Ústecký kraj,Děčín,Rumburk,U nemocnice 1298,40801,125.0,87,skola@specvdf.cz,,,Ústecký kraj,7,PhDr. Blažena Dacerová,2005-01-01,134236.0
"Základní škola a Mateřská škola, Jablonec nad Nisou, Kamenná 404/4, příspěvková organizace",Základní škola a Mateřská škola,103017488,60254301,B00,Základní škola,Liberecký kraj,Jablonec nad Nisou,Jablonec nad Nisou,Kamenná 404,46601,135.0,94,reditel@zskamennajbc.cz,,,Liberecký kraj,7,Mgr. Rita Lukešová,2005-01-01,12166987.0
"Základní škola, Tanvald, Údolí Kamenice 238, příspěvková organizace",Základní škola,102177520,60254238,B00,Základní škola,Liberecký kraj,Jablonec nad Nisou,Tanvald,Údolí Kamenice 238,46841,75.0,52,reditel@zshortan.cz; zastupce@zshortan.cz,,,Liberecký kraj,7,Mgr. Jan Kulhánek,2005-01-01,12225797.0
"Základní škola, Jablonec nad Nisou, Liberecká 1734/31, příspěvková organizace",Základní škola,102177490,60254190,B00,Základní škola,Liberecký kraj,Jablonec nad Nisou,Jablonec nad Nisou,Liberecká 1734,46601,208.0,145,sekretariat@specialniskola-jbc.cz,,,Liberecký kraj,7,Mgr. Fronika Burešová,2005-01-01,12176672.0
"Základní škola a mateřská škola logopedická, Liberec, příspěvková organizace",Základní škola a mateřská škola logoped.,000082856,46748059,B00,Základní škola,Liberecký kraj,Liberec,Liberec,Elišky Krásnohorské 921,46014,180.0,125,karasek@ssplbc.cz,,,Liberecký kraj,7,Mgr. Jakub Karásek,2005-01-01,23716533.0
"Základní škola a Mateřská škola, Liberec, Zeyerova, příspěvková organizace",ZŠ a MŠ pro tělesně postižené,000082848,46749799,B00,Základní škola,Liberecký kraj,Liberec,Liberec,Zeyerova 831,46001,360.0,251,stastny.zsms@seznam.cz,,,Liberecký kraj,7,Mgr. Vít Šťastný,2005-01-01,23660937.0
"Základní škola ALVALÍDA, s.r.o.","Základní škola ALVALÍDA, s.r.o.",108030687,25023519,B00,Základní škola,Liberecký kraj,Liberec,Liberec,Hanychovská 743,46007,12.0,8,alvalida@seznam.cz,,,,5,Mgr. Petra Havlíčková,2005-01-01,23773049.0
"Střední odborná škola, Liberec, Jablonecká 999, příspěvková organizace","SOŠ, příspěvková organizace",108030733,46746862,C00,Střední škola,Liberecký kraj,Liberec,Liberec,Jablonecká 999,46006,410.0,287,info@sosliberec.cz,,,Liberecký kraj,7,PhDr. Milan Adamec,2005-01-01,23676086.0
"Speciální základní škola, Štětí, Ostrovní 300, příspěvková organizace","Spec.ZŠ, příspěvková organizace",110008286,46773282,B00,Základní škola,Ústecký kraj,Litoměřice,Štětí,Ostrovní 300,41108,120.0,84,h.moravcova@specka-steti.cz,,,Ústecký kraj,7,Mgr. Hana Moravcová,2005-01-01,16874293.0
"Základní škola speciální, Roudnice nad Labem, Neklanova 1807, příspěvková organizace",Základní škola praktická,102317526,70839824,B00,Základní škola,Ústecký kraj,Litoměřice,Roudnice nad Labem,Neklanova 1807,41301,100.0,70,hubalkova.radka@zsprce.cz,,,Ústecký kraj,7,Mgr. Radka Hubálková,2005-01-01,16869702.0
"Základní škola při Dětské psychiatrické nemocnici, Louny, příspěvková organizace",ZŠ při Dětské psychiatrické nemocnici,110003152,70841543,B00,Základní škola,Ústecký kraj,Louny,Louny,Pod Nemocnicí 2503,44001,70.0,49,zsdpl.reditel@centrum.cz,,,Ústecký kraj,7,RNDr. Jana Gottfriedová,2005-01-01,25072005.0
"Dětský domov, Základní škola a Střední škola, Žatec, příspěvková organizace","DD, ZŠ a SŠ",108040771,62247859,C00,Střední škola,Ústecký kraj,Louny,Žatec,Svatopluka Čecha 2773,43801,40.0,28,ddzatec@seznam.cz,,,Ústecký kraj,7,Mgr. Lenka Šikířová,2005-01-01,9281584.0
"Dětský domov, Základní škola a Střední škola, Žatec, příspěvková organizace","DD, ZŠ a SŠ",062247859,62247859,B00,Základní škola,Ústecký kraj,Louny,Žatec,Svatopluka Čecha 2773,43801,100.0,70,ddzatec@seznam.cz,,,Ústecký kraj,7,Mgr. Lenka Šikířová,2005-01-01,9281584.0
"Logopedická základní škola, Měcholupy 1, příspěvková organizace",Logopedická základní škola,061357286,61357286,B00,Základní škola,Ústecký kraj,Louny,Měcholupy,None 1,43931,80.0,56,specialniskola@lzs-mecholupy.cz,,,Ústecký kraj,7,Mgr. Lenka Kořínková,2005-01-01,9174958.0
"Základní škola speciální a Praktická škola Litvínov, Šafaříkova 991, okres Most",Základní škola spec. a Praktická škola,181057522,47324295,C00,Střední škola,Ústecký kraj,Most,Litvínov,Šafaříkova 991,43601,40.0,28,liba.karbanka@seznam.cz,,,Město Litvínov,2,Mgr. Eva Sekyrková,2014-05-27,5156165.0
"Základní škola speciální a Praktická škola Litvínov, Šafaříkova 991, okres Most",Základní škola spec. a Praktická škola,110010795,47324295,B00,Základní škola,Ústecký kraj,Most,Litvínov,Šafaříkova 991,43601,150.0,105,liba.karbanka@seznam.cz,,,Město Litvínov,2,Mgr. Eva Sekyrková,2005-01-01,5156165.0
"Základní škola profesora Zdeňka Matějčka, Most, Zdeňka Štěpánka 340, příspěvková organizace",Základní škola profesora Zdeňka Matějčka,108007022,62209485,B00,Základní škola,Ústecký kraj,Most,Most,J. E. Purkyně 270,43401,200.0,140,zsdysmost@volny.cz,,,Ústecký kraj,7,Mgr. Petra Uškovičová,2005-01-01,5085268.0
"Základní škola a Střední škola, Most, Jana Palacha 1534, příspěvková organizace",Základní škola a Střední škola,110010680,63125382,C00,Střední škola,Ústecký kraj,Most,Most,Jana Palacha 1534,43401,42.0,29,vedeni@specmo.cz,,,Ústecký kraj,7,Mgr. Hana Slapničková,2005-01-01,5097304.0
"Základní škola a Střední škola, Most, Jana Palacha 1534, příspěvková organizace",Základní škola a Střední škola,110010671,63125382,B00,Základní škola,Ústecký kraj,Most,Most,Jana Palacha 1534,43401,420.0,294,vedeni@specmo.cz,,,Ústecký kraj,7,Mgr. Hana Slapničková,2005-01-01,5097304.0
"Základní škola a Mateřská škola, Teplice, U Červeného kostela 110, příspěvková organizace",Základní škola a Mateřská škola,102465789,70839913,B00,Základní škola,Ústecký kraj,Teplice,Teplice,Duchcovská 962,41501,320.0,224,skaloudova@zsamsteplice.cz,,,Ústecký kraj,7,Mgr. Markéta Škaloudová Fryčová,2005-01-01,20257597.0
"Základní škola speciální, Bílina, příspěvková organizace",Základní škola speciální,102465797,61515761,B00,Základní škola,Ústecký kraj,Teplice,Bílina,Kmochova 205,41801,120.0,84,iveta.krzakova@zsbilina.cz,,,Ústecký kraj,7,Mgr. Iveta Krzáková,2005-01-01,23794895.0
"Speciální základní škola a Speciální mateřská škola, Teplice, Trnovanská 1331, příspěvková organizace",Speciální ZŠ a Speciální MŠ,150059639,70839841,B00,Základní škola,Ústecký kraj,Teplice,Háj u Duchcova,Kubátova 269,41722,90.0,62,info@spcteplice.cz,,,Ústecký kraj,7,Mgr. Vanda Korandová,2005-01-01,14987783.0
"Dětský domov, Základní škola a Střední škola, Duchcov, příspěvková organizace","DD, ZŠ a SŠ",110036026,61515582,C00,Střední škola,Ústecký kraj,Teplice,Duchcov,Školní 624,41901,24.0,16,sekretariat@ddzsduchcov.cz,,,Ústecký kraj,7,Mgr. Blanka Stádníková,2005-01-01,18547729.0
"Dětský domov, Základní škola a Střední škola, Duchcov, příspěvková organizace","DD, ZŠ a SŠ",108019608,61515582,B00,Základní škola,Ústecký kraj,Teplice,Duchcov,Školní 624,41901,185.0,129,sekretariat@ddzsduchcov.cz,,,Ústecký kraj,7,Mgr. Blanka Stádníková,2005-01-01,18547729.0
"Základní škola praktická Teplice, s.r.o.","Základní škola praktická Teplice, s.r.o.",107568624,25023187,B00,Základní škola,Ústecký kraj,Teplice,Teplice,Krušnohorská 1570,41501,80.0,56,zvssro-teplice@volny.cz,,,,5,Mgr. Ivana Brejchová,2005-01-01,20242000.0
"Základní škola a praktická škola Arkadie, o.p.s.","ZŠ a PrŠ Arkadie, o.p.s.",110017650,25048791,C00,Střední škola,Ústecký kraj,Teplice,Teplice,U Nových lázní 1286,41501,12.0,8,info@zsarkadie.cz,,,,5,Mgr. Ivan Růžička,2005-01-01,20260211.0
"Základní škola a praktická škola Arkadie, o.p.s.","ZŠ a PrŠ Arkadie, o.p.s.",102000603,25048791,B00,Základní škola,Ústecký kraj,Teplice,Teplice,U Nových lázní 1286,41501,80.0,56,info@zsarkadie.cz,,,,5,Mgr. Ivan Růžička,2005-01-01,20260211.0
"Speciální základní škola a Praktická škola, Ústí nad Labem, Pod Parkem 2788, příspěvková organizace",Spec. základní škola a Praktická škola,181023725,44555091,C00,Střední škola,Ústecký kraj,Ústí nad Labem,Ústí nad Labem,Pod Parkem 2788,40011,30.0,21,spec.skoly@volny.cz,,,Ústecký kraj,7,Mgr. Bc. Martina Brhelová,2010-11-30,17877237.0
"Speciální základní škola a Praktická škola, Ústí nad Labem, Pod Parkem 2788, příspěvková organizace",Spec. základní škola a Praktická škola,110003471,44555091,B00,Základní škola,Ústecký kraj,Ústí nad Labem,Ústí nad Labem,Sociální péče 3316,40011,500.0,350,spec.skoly@volny.cz,,,Ústecký kraj,7,Mgr. Bc. Martina Brhelová,2005-01-01,17885167.0
Základní škola a Praktická škola Chotěboř,Základní škola a Praktická škola,151037388,70836329,C00,Střední škola,Kraj Vysočina,Havlíčkův Brod,Chotěboř,Hradební 529,58301,28.0,19,skola@zs-chotebor.com,,,Kraj Vysočina,7,Mgr. Drahomíra Danielková,2007-05-30,9622446.0
Základní škola a Praktická škola Chotěboř,Základní škola a Praktická škola,102006814,70836329,B00,Základní škola,Kraj Vysočina,Havlíčkův Brod,Chotěboř,Hradební 529,58301,82.0,57,skola@zs-chotebor.com,,,Kraj Vysočina,7,Mgr. Drahomíra Danielková,2005-01-01,9622446.0
"Základní škola a Praktická škola,  U Trojice 2104, Havlíčkův Brod",Základní škola a Praktická škola,181035898,70838593,C00,Střední škola,Kraj Vysočina,Havlíčkův Brod,Havlíčkův Brod,U Trojice 2104,58001,31.0,21,reditel@zsutrojice.cz,,,Kraj Vysočina,7,Mgr. Eva Kořinková,2012-03-29,9606157.0
"Základní škola a Praktická škola,  U Trojice 2104, Havlíčkův Brod",Základní škola a Praktická škola,102006792,70838593,B00,Základní škola,Kraj Vysočina,Havlíčkův Brod,Havlíčkův Brod,U Trojice 2104,58001,105.0,73,reditel@zsutrojice.cz,,,Kraj Vysočina,7,Mgr. Eva Kořinková,2005-01-01,9606157.0
Základní škola a Mateřská škola při zdravotnických zařízeních Kraje Vysočina,ZŠ a MŠ při zdr. zaříz. Kraje Vysočina,102006750,70837228,B00,Základní škola,Kraj Vysočina,Havlíčkův Brod,Havlíčkův Brod,Rozkošská 2332,58001,91.0,63,sedlakova.j@skolyzz.cz,,,Kraj Vysočina,7,Mgr. Jana Sedláková,2005-01-01,9608192.0
"Základní škola a Mateřská škola při Fakultní nemocnici, Hradec Králové, Sokolská 581",ZŠ a MŠ při Fakultní nemocnici,102078297,70837554,B00,Základní škola,Královéhradecký kraj,Hradec Králové,Hradec Králové,Sokolská 581,50003,60.0,42,szsfnhk@volny.cz,,,Královéhradecký kraj,7,Mgr. Blanka Kovandová,2005-01-01,23808772.0
"Mateřská škola, základní škola a střední škola Daneta, s.r.o.","MŠ, ZŠ a SŠ Daneta, s.r.o.",110011473,25262165,C00,Střední škola,Královéhradecký kraj,Hradec Králové,Hradec Králové,Nerudova 1180,50002,44.0,30,info@daneta.cz,,,,5,Mgr. Monika Bourová,2005-01-01,23894814.0
"Mateřská škola, základní škola a střední škola Daneta, s.r.o.","MŠ, ZŠ a SŠ Daneta, s.r.o.",048162485,25262165,B00,Základní škola,Královéhradecký kraj,Hradec Králové,Hradec Králové,Nerudova 1180,50002,70.0,49,info@daneta.cz,,,,5,Mgr. Monika Bourová,2005-01-01,23894814.0
"PROINTEPO - Střední škola, Základní škola a Mateřská škola s.r.o.","PROINTEPO - SŠ, ZŠ a MŠ s.r.o.",181073501,25263633,C00,Střední škola,Královéhradecký kraj,Hradec Králové,Hradec Králové,Hrubínova 1458,50002,12.0,8,urbanova@prointepo.org,,,,5,Mgr. Miriam Urbanová,2015-09-22,23897597.0
"PROINTEPO - Střední škola, Základní škola a Mateřská škola s.r.o.","PROINTEPO - SŠ, ZŠ a MŠ s.r.o.",061223174,25263633,B00,Základní škola,Královéhradecký kraj,Hradec Králové,Hradec Králové,Hrubínova 1458,50002,62.0,43,urbanova@prointepo.org,,,,5,Mgr. Miriam Urbanová,2005-01-01,23897597.0
"Mateřská škola, Speciální základní škola a Praktická škola, Hradec Králové","MŠ, Spec. základní škola a Prakt. škola",110013387,62693514,C00,Střední škola,Královéhradecký kraj,Hradec Králové,Hradec Králové,Hradecká 1231,50003,40.0,28,pavel.zalesky@specialnihk.cz,,,Královéhradecký kraj,7,Mgr. Pavel Záleský,2005-01-01,25249762.0
"Mateřská škola, Speciální základní škola a Praktická škola, Hradec Králové","MŠ, Spec. základní škola a Prakt. škola",102078327,62693514,B00,Základní škola,Královéhradecký kraj,Hradec Králové,Hradec Králové,Hradecká 1231,50003,366.0,256,pavel.zalesky@specialnihk.cz,,,Královéhradecký kraj,7,Mgr. Pavel Záleský,2005-01-01,25249762.0
"Základní škola, Nový Bydžov, F. Palackého 1240",Základní škola,102078378,70837538,B00,Základní škola,Královéhradecký kraj,Hradec Králové,Nový Bydžov,F. Palackého 1240,50401,80.0,56,info@zspbydzov.cz,,,Královéhradecký kraj,7,"Mgr. Lenka Lusková, DiS.",2005-01-01,20343132.0
"Vyšší odborná škola, Střední škola, Základní škola a Mateřská škola, Hradec Králové, Štefánikova 549","VOŠ, SŠ, ZŠ a MŠ",110013450,62690361,C00,Střední škola,Královéhradecký kraj,Hradec Králové,Hradec Králové,Štefánikova 549,50011,160.0,112,iva.rindova@neslhk.com,,,Královéhradecký kraj,7,Mgr. Bc. Iva Rindová,2005-01-01,23930390.0
"Vyšší odborná škola, Střední škola, Základní škola a Mateřská škola, Hradec Králové, Štefánikova 549","VOŠ, SŠ, ZŠ a MŠ",110013417,62690361,B00,Základní škola,Královéhradecký kraj,Hradec Králové,Hradec Králové,Štefánikova 549,50011,302.0,211,iva.rindova@neslhk.com,,,Královéhradecký kraj,7,Mgr. Bc. Iva Rindová,2005-01-01,23930390.0
"Střední škola profesní přípravy, Hradec Králové","SŠ profesní přípravy, Hradec Králové",062690400,62690400,C00,Střední škola,Královéhradecký kraj,Hradec Králové,Hradec Králové,Vážní 891,50003,400.0,280,sekretariat@sspphk.cz,,,Královéhradecký kraj,7,PaedDr. Libor Mojžíš,2005-01-01,23910810.0
"Odborné učiliště Chroustovice, Zámek 1",Odborné učiliště,060103370,60103370,C00,Střední škola,Pardubický kraj,Chrudim,Chroustovice,None 1,53863,448.0,313,uciliste@chroustovice.cz,,,Pardubický kraj,7,Ing. Jaroslav Bálek,2005-01-01,5286808.0
"Střední škola řemesel a Základní škola, Hořice",Střední škola řemesel a Základní škola,000087998,00087998,C00,Střední škola,Královéhradecký kraj,Jičín,Hořice,Havlíčkova 54,50801,192.0,134,reditel@ouhorice.cz,,,Královéhradecký kraj,7,Mgr. Jan Perka,2005-01-01,17535450.0
"Střední škola řemesel a Základní škola, Hořice",Střední škola řemesel a Základní škola,102206538,00087998,B00,Základní škola,Královéhradecký kraj,Jičín,Lázně Bělohrad,Lázeňská 146,50781,133.0,93,reditel@ouhorice.cz,,,Královéhradecký kraj,7,Mgr. Jan Perka,2005-01-01,1764462.0
"Základní škola a Praktická škola, Broumov",Základní škola a Praktická škola,181093626,70836469,C00,Střední škola,Královéhradecký kraj,Náchod,Broumov,Kladská 164,55001,19.0,13,zvs.broumov@seznam.cz,,,Královéhradecký kraj,7,Mgr. Petra Pancnerová,2017-11-21,7222599.0
"Základní škola a Praktická škola, Broumov",Základní škola a Praktická škola,102266069,70836469,B00,Základní škola,Královéhradecký kraj,Náchod,Broumov,Kladská 164,55001,120.0,84,zvs.broumov@seznam.cz,,,Královéhradecký kraj,7,Mgr. Petra Pancnerová,2005-01-01,7222599.0
"Dětský domov, Základní škola speciální a Praktická škola, Jaroměř","DD, ZŠ speciální a Praktická škola",181064197,48623733,C00,Střední škola,Královéhradecký kraj,Náchod,Jaroměř,Palackého 142,55101,10.0,7,kaczmarkova@zsspecaddjaromer.cz,,,Královéhradecký kraj,7,Mgr. Taťána Kánská,2014-11-24,7274700.0
"Dětský domov, Základní škola speciální a Praktická škola, Jaroměř","DD, ZŠ speciální a Praktická škola",102718563,48623733,B00,Základní škola,Královéhradecký kraj,Náchod,Jaroměř,Palackého 142,55101,54.0,37,kaczmarkova@zsspecaddjaromer.cz,,,Královéhradecký kraj,7,Mgr. Taťána Kánská,2005-01-01,7274700.0
"Střední průmyslová škola, Odborná škola a Základní škola, Nové Město nad Metují","SPŠ, Odborná škola a Základní škola",102730148,48623725,C00,Střední škola,Královéhradecký kraj,Náchod,Nové Město nad Metují,Na Hradčanech 1135,54901,1400.0,979,sekretariat@skolynome.cz,,,Královéhradecký kraj,7,Mgr. Klára Barešová,2005-01-01,7409176.0
"Střední průmyslová škola, Odborná škola a Základní škola, Nové Město nad Metují","SPŠ, Odborná škola a Základní škola",150024762,48623725,B00,Základní škola,Královéhradecký kraj,Náchod,Nové Město nad Metují,Českých bratří 1035,54901,70.0,49,sekretariat@skolynome.cz,,,Královéhradecký kraj,7,Mgr. Klára Barešová,2005-01-01,7408161.0
